Nederlands,Engels
immigratie,immigration
integratie,integration
buitenlanders,foreigners
klimaat,climate
aantrekkelijk,alluring
donkere,dark
grijze,grey
wolken,clouds
dankzij,because of
zelden,seldom
hete,hot
regen,rain
tevreden,happy
groeit,grows
bloeit,flourishes
kou,cold
ideaal,perfect
regelt,adjust
temperatuur,temperature
centrale,central
verwarming,heating
gezegd,said
Noord-Europa,northern Europe
komst,coming
vertrokken,left
vreesde,feared
zat,was
voortdurend,continually
angst,fear
